Word,Sentence,Correct Sense,Definition,
Bank,She deposited money in the bank.,Financial Institution,"A place that stores, invests, and manages money",
Bank,They sat on the river bank and watched the sunset.,River Edge,"The rising ground bordering a lake, river, or sea",
Bank,The pilot banked the airplane left.,Tilt,To incline during a turn.,
Banknote,She used a banknote to pay for the meal.,Paper Money,A printed piece of currency used for payment.,
Banknote,The collector stored the rare banknote carefully.,Collectible Item,A valuable or historical currency piece.,
Banner,A banner hung across the street.,Sign,A large display of text or graphics.,
Banner,It was a banner year for sales.,Outstanding,Exceptionally successful.,
Banner,The banner hung across the street.,Flag,Large cloth display,
Banner,The campaign was a banner success.,Descriptor,Outstanding example,
Banquet,They attended a royal banquet.,Feast,Formal large meal,
Banquet,The hall was prepared for a banquet.,Event,Ceremonial dining gathering,
Bar,We met at a bar.,Establishment,A place serving drinks.,
Bar,The chocolate bar melted.,Block,A solid rectangular piece.,
Bar,The prisoner was behind bars.,Metal Rod,A long rigid piece of metal.,
Barge,A barge moved along the river.,Boat,A flat-bottomed cargo vessel.,
Barge,He barged into the room.,Enter Rudely,To move forcefully into a place.,
Bark,The dog began to bark loudly at the mailman.,Animal Sound,"The sharp explosive cry of a dog, fox, or seal",
Bark,The rough bark of the oak tree scraped his hand.,Tree Layer,The tough protective outer sheath of the trunk and branches of a tree,
Bark,The bark of the dog startled everyone.,Sound,Sharp animal sound,
Bark,Tree bark protects the trunk.,Layer,Outer covering of trees,
Barker,The barker attracted customers.,Promoter,A person who calls out to attract business.,
Barker,The dog was a loud barker.,Dog,An animal that frequently barks.,
Barometer,The barometer measured pressure changes.,Instrument,Device for atmospheric pressure,
Barometer,The mood is a barometer of public opinion.,Indicator,Measure of change,
Barrage,The barrage of questions overwhelmed her.,Attack,Rapid series,
Barrage,The river barrage controls water flow.,Structure,Dam-like barrier,
Barrel,The farmer stored water in a barrel.,Container,A large cylindrical storage vessel.,
Barrel,The camera barrel was adjusted by the photographer.,Camera Part,The tube that contains a lens system.,
Barricade,Protesters built a barricade.,Barrier,Obstruction used for blocking,
Barricade,Police removed the barricade.,Structure,Defensive blockage,
Barrow,He pushed a garden barrow.,Cart,Small hand wheelbarrow,
Barrow,The ancient barrow was excavated.,Burial Mound,Prehistoric grave structure,
Barter,They used barter instead of money.,Exchange,Trade goods directly,
Barter,The villagers barter crops for tools.,Action,System of trading,
Barter,They barter goods in the market.,Exchange,Trade without money,
Barter,The villagers used barter systems.,Transaction,Direct exchange of items,
Basement,The boxes were stored in the basement.,Lower Room,A room below ground level.,
Basement,The house had a finished basement area.,Part Of Building,A lower section of a structure.,
Basil,The chef added basil to the pasta.,Herb,A plant used for flavoring food.,
Basil,The gardener grew basil in a pot.,Plant,A leafy green plant.,
Basin,Water collected in the basin.,Container,Bowl-shaped vessel,
Basin,The river basin covers a large area.,Geographic Region,Drainage area,
Basin,The basin filled with rainwater.,Container,Bowl-shaped object,
Basin,The river basin spans the region.,Geography,Drainage area,
Bass,The bass is very nutritious for the person suffering from heart diseases.,Fish,A species of prized edible spiny-finned fish found in fresh or salt water.,
Bass,Most bass guitar strings are made of nickel-wrapped steel. ,Musical Instrument,The lowest pitch range of an instrument.,
Bass,The bass of female voice is different than that of male voice.,Vocal Tone / Pitch,The lowest adult singing voice.,
Bat,A bat flew out of the cave into the night sky.,Mammal,A nocturnal flying mammal with webbed wings,
Batch,The bakery produced a batch of bread.,Quantity Produced,A group made together.,
Batch,The system processes data in batches.,Processing Group,A set handled at one time.,
Bathe,The child went to bathe before sleeping.,Wash,To clean the body using water.,
Bathe,The sunlight bathed the room in warmth.,Cover With,To spread or fill an area with something.,
Battery,Replace the battery.,Power Source,Device supplying electricity.,
Battery,The suspect faced battery charges.,Legal Offense,Physical attack on another person.,
Battery,The phone battery is low.,Power Source,Energy storage unit,
Battery,He faced a charge of battery.,Legal Offense,Unlawful physical contact,
Beacon,The lighthouse served as a beacon.,Signal Light,A guiding light.,
Beacon,She became a beacon of hope.,Inspiration,A source of encouragement.,
Beacon,The lighthouse beacon guided ships.,Light Signal,Guiding light,
Beacon,She became a beacon of hope.,Symbol,Inspirational figure,
Beacon,The beacon guided ships at night.,Light,Guiding signal,
Beacon,She became a beacon of hope.,Symbol,Inspirational figure,
Beaker,The scientist filled a beaker.,Lab Container,Glass chemical vessel,
Beaker,The beaker broke during experiment.,Instrument,Laboratory cup,
Beam,A beam of light entered the cave.,Ray,A line of light.,
Beam,The roof rests on a steel beam.,Support Structure,A long support made of wood or metal.,
Beam,She beamed with pride.,Smile Broadly,To show happiness through expression.,
Beam,A wooden beam supported the roof.,Structure,Horizontal support,
Beam,The astronaut smiled and beamed.,Expression,Radiated joy,
Beast,The beast roared in the forest.,Animal,Wild creature,
Beast,The task was a beast to complete.,Metaphor,Difficult challenge,
Beeline,The bee made a beeline for flowers.,Path,Direct line,
Beeline,He made a beeline for the exit.,Movement,Direct route,
Beetle,The beetle crawled under the leaf.,Insect,A small animal with a hard shell.,
Beetle,The museum displayed an old Beetle model.,Car Model,A type of automobile.,
Beetle,The beetle crawled across the leaf.,Insect,Hard-shelled insect,
Beetle,The car beetled down the road.,Movement,Moved quickly,
Belay,They set a belay in climbing.,Safety System,Rope securing method,
Belay,The climber adjusted the belay.,Action,Securing rope support,
Bell,The bell rang at noon.,Sound Object,An object that produces a ringing sound.,
Bell,The church tower had a large bell.,Instrument,A metal object struck to make sound.,
Belt,He tightened his belt.,Clothing Accessory,A strap worn around the waist.,
Belt,The conveyor belt stopped moving.,Machine Part,A loop used to transfer motion.,
Bench,He sat on the park bench.,Seat,Long seat,
Bench,The judge stepped down from the bench.,Position,Judicial role,
Benchmark,Use this benchmark for comparison.,Standard,Reference point.,
Benchmark,The software benchmark finished.,Performance Test,Evaluation of speed or efficiency.,
Benchmark,The result set a new benchmark.,Standard,Reference point,
Benchmark,Engineers benchmark the system.,Evaluation,Performance comparison,
Berry,She picked a berry from the bush.,Fruit,A small edible fruit.,
Berry,The scientist classified the berry type.,Plant Product,A fruit produced by a plant.,
Berth,The ship was assigned a berth.,Docking Space,Assigned place for vessel,
Berth,He secured a berth on the train.,Sleeping Space,Sleeping compartment,
Bias,The survey showed bias.,Prejudice,Unfair preference.,
Bias,The circuit requires bias voltage.,Electrical Setting,Predetermined operating voltage.,
Bias,The study showed a sampling bias.,Distortion,Systematic error,
Bias,He has a bias toward older methods.,Preference,Inclination toward something,
Billet,The soldier returned to his billet.,Lodging,Assigned military housing,
Billet,The factory produced steel billets.,Material,Metal block,
Billet,The soldier returned to his billet.,Lodging,Assigned military housing,
Billet,Steel billets were stacked in the factory.,Material,Metal block,
Billow,Smoke began to billow from the chimney.,Movement,Rise in waves,
Billow,The curtains billow in the wind.,Motion,Swell outward,
Binary,Computers use binary.,Numeral System,Base-2 representation.,
Binary,The answer is binary.,Two-State System,Having only two possibilities.,
Binary,The system uses binary code.,Numeric System,Base-2 computing system,
Binary,The choice was seen as binary.,Classification,Two-option division,
Binder,She used a binder for her papers.,Folder,Organizing cover,
Binder,Asphalt acts as a binder in roads.,Substance,Material that holds things together,
Biopsy,The biopsy confirmed the diagnosis.,Medical Test,Tissue sampling procedure,
Biopsy,The doctor performed a biopsy.,Procedure,Removal of tissue for testing,
Biosphere,The biosphere includes all living things.,Ecological System,Global life zone,
Biosphere,Scientists study the biosphere.,Environment,Life-supporting earth system,
Blade,The knife blade was sharp.,Cutting Part,The edge of a tool used for cutting.,
Blade,The fan blade rotated quickly.,Rotating Part,A flat piece attached to a rotating machine.,
Blare,The siren began to blare loudly.,Sound,Loud noise,
Blare,The music continued to blare from speakers.,Action,Emit loud sound,
Blaze,The forest was engulfed in blaze.,Fire,Large uncontrolled fire,
Blaze,The colors blazed in the sky.,Brightness,Shine intensely,
